Dates,DayOfWeek,PdDistrict,Address,X,Y
2005-03-13 17:00:00,Sunday,MISSION,2800 Block of BRYANT ST,-122.408695677398,37.7489689222795
2008-06-24 05:53:00,Tuesday,BAYVIEW,1100 Block of GILMAN AV,-122.391002965046,37.7197891773069
2010-11-21 15:40:00,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2004-11-23 15:00:00,Tuesday,PARK,400 Block of HUGO ST,-122.462638069686,37.7650827055931
2009-02-03 15:45:00,Tuesday,SOUTHERN,200 Block of BRANNAN ST,-122.390645819037,37.7830549839906
2010-09-09 15:20:00,Thursday,TENDERLOIN,LEAVENWORTH ST / GOLDEN GATE AV,-122.413869632554,37.7818621883021
2015-03-06 11:00:00,Friday,SOUTHERN,0 Block of NEWMONTGOMERY ST,-122.401817240144,37.788440503956
2014-01-24 20:45:00,Friday,INGLESIDE,300 Block of MAYNARD ST,-122.422848816355,37.7299407202717
2004-07-21 16:15:00,Wednesday,TARAVAL,1200 Block of LA PLAYA ST,-122.509265276857,37.7630727687234
2010-11-21 03:05:00,Sunday,INGLESIDE,4700 Block of MISSION ST,-122.436749760121,37.7219915768943
2006-03-07 08:40:00,Tuesday,SOUTHERN,0 Block of MISSION ST,-122.392889145798,37.7935385958356
2007-05-15 19:05:00,Tuesday,SOUTHERN,700 Block of MARKET ST,-122.405294845215,37.7863072236365
2005-10-03 14:43:00,Monday,BAYVIEW,1700 Block of LASALLE AV,-122.391434800433,37.7381270935013
2006-05-04 16:45:00,Thursday,MISSION,MISSION ST / 22ND ST,-122.418748733523,37.755437187509706
2014-02-21 15:45:00,Friday,INGLESIDE,GENEVA AV / MISSION ST,-122.441018108888,37.7164586830811
2009-02-06 15:25:00,Friday,BAYVIEW,4500 Block of 3RD ST,-122.38987748688801,37.7367416338184
2014-08-05 22:00:00,Tuesday,INGLESIDE,0 Block of DICHIERA CT,-122.44654427062599,37.7128029787512
2006-01-11 13:00:00,Wednesday,RICHMOND,0 Block of CLEMENT ST,-122.4595747339,37.7831072415265
2014-11-25 15:30:00,Tuesday,CENTRAL,400 Block of GEARY ST,-122.410699657634,37.7869881885308
2008-11-24 13:45:00,Monday,BAYVIEW,1300 Block of THOMAS AV,-122.386594164927,37.7278183430085
2011-09-22 09:00:00,Thursday,MISSION,1200 Block of SOUTH VAN NESS AV,-122.416407071861,37.7531509460228
2014-03-18 17:22:00,Tuesday,MISSION,500 Block of NOE ST,-122.43282361292101,37.760618201641
2004-09-04 11:00:00,Saturday,BAYVIEW,2000 Block of NEWCOMB AV,-122.39824708809799,37.7399618972506
2009-09-06 17:05:00,Sunday,SOUTHERN,4TH ST / HOWARD ST,-122.40271259328199,37.783259654397895
2015-02-19 14:24:00,Thursday,BAYVIEW,3RD ST / 23RD ST,-122.388004140125,37.75538982967021
2015-03-16 16:55:00,Monday,NORTHERN,1900 Block of UNION ST,-122.43100919257499,37.7977145786189
2015-03-02 21:17:00,Monday,BAYVIEW,3RD ST / JERROLD AV,-122.389310644607,37.738741839511
2005-06-15 20:00:00,Wednesday,BAYVIEW,1500 Block of YOSEMITE AV,-122.390712980282,37.7263758128285
2007-11-13 13:30:00,Tuesday,TARAVAL,100 Block of RIVAS AV,-122.481551990766,37.71596331169221
2013-05-17 14:00:00,Friday,SOUTHERN,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2005-02-13 19:00:00,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2010-04-09 18:00:00,Friday,PARK,DIVISADERO ST / FULTON ST,-122.438180582321,37.77685569004471
2007-07-23 10:00:00,Monday,INGLESIDE,1700 Block of SUNNYDALE AV,-122.417107986993,37.7122561827524
2013-02-18 20:30:00,Monday,MISSION,600 Block of CHURCH ST,-122.428309267889,37.7600871873775
2004-09-27 09:31:00,Monday,INGLESIDE,400 Block of LANDSDALE AV,-122.456060925109,37.7361217277736
2008-08-18 22:00:00,Monday,SOUTHERN,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2010-10-22 18:00:00,Friday,BAYVIEW,1200 Block of HOLLISTER AV,-122.395098403651,37.7213030940671
2007-02-09 00:02:00,Friday,SOUTHERN,6TH ST / JESSIE ST,-122.40924767554701,37.7813987340892
2013-07-12 23:26:00,Friday,PARK,HAIGHT ST / MASONIC AV,-122.4453467866,37.7702081959172
2009-09-02 00:20:00,Wednesday,TENDERLOIN,300 Block of TURK ST,-122.414900544562,37.7827419623926
2015-01-11 02:02:00,Sunday,SOUTHERN,1200 Block of HOWARD ST,-122.41244737312401,37.775633673443
2010-08-14 00:01:00,Saturday,MISSION,26TH ST / HARRISON ST,-122.411595216432,37.7494360392756
2007-03-10 19:00:00,Saturday,NORTHERN,300 Block of OCTAVIA ST,-122.424508536202,37.7755247155908
2007-06-25 08:50:00,Monday,CENTRAL,BUSH ST / JONES ST,-122.413731461593,37.7895283021427
2015-05-02 17:45:00,Saturday,MISSION,1500 Block of BRYANT ST,-122.410600103463,37.7675325594031
2010-05-18 16:05:00,Tuesday,TENDERLOIN,100 Block of OFARRELL ST,-122.407244087032,37.7865647607685
2008-11-11 16:10:00,Tuesday,CENTRAL,300 Block of SACRAMENTO ST,-122.399581796572,37.7942621172345
2006-04-04 11:07:00,Tuesday,INGLESIDE,0 Block of PHELAN AV,-122.452289660492,37.72569335757029
2008-12-10 15:00:00,Wednesday,TARAVAL,1700 Block of 42ND AV,-122.50125138944999,37.7540573943439
2010-02-25 00:38:00,Thursday,MISSION,400 Block of CASTRO ST,-122.43515009981199,37.7617597243598
2014-11-15 19:40:00,Saturday,PARK,600 Block of ASHBURY ST,-122.44690586002301,37.769523314641
2007-04-18 23:30:00,Wednesday,TARAVAL,GRAFTON AV / JULES AV,-122.46123402264901,37.720019020747706
2008-09-30 10:45:00,Tuesday,TENDERLOIN,200 Block of TAYLOR ST,-122.410979175673,37.784625434984
2008-11-11 20:45:00,Tuesday,TARAVAL,300 Block of HEAD ST,-122.464324485172,37.713614800777
2004-12-24 12:00:00,Friday,CENTRAL,600 Block of BUSH ST,-122.408404482124,37.7902633246767
2012-07-24 11:37:00,Tuesday,BAYVIEW,200 Block of HARBOR RD,-122.378392257534,37.732331246437795
2009-10-12 04:35:00,Monday,MISSION,300 Block of EUREKA ST,-122.437853810364,37.755697444638294
2012-12-30 22:28:00,Sunday,MISSION,400 Block of CAPP ST,-122.417970955091,37.759488455703604
2014-04-29 07:40:00,Tuesday,NORTHERN,2000 Block of FILBERT ST,-122.433218987808,37.7982783286831
2012-01-24 06:07:00,Tuesday,TENDERLOIN,0 Block of STOCKTON ST,-122.406351834294,37.7860311576362
2006-08-25 11:00:00,Friday,SOUTHERN,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2010-11-16 11:57:00,Tuesday,PARK,DIVISADERO ST / GROVE ST,-122.437990176327,37.775924865346
2008-08-24 06:00:00,Sunday,INGLESIDE,100 Block of GLADSTONE DR,-122.42199747366399,37.7292302986139
2010-03-24 14:04:00,Wednesday,INGLESIDE,400 Block of RAYMOND AV,-122.412502628697,37.714630772273395
2005-11-04 22:30:00,Friday,NORTHERN,WEBSTER ST / OAK ST,-122.429178876176,37.7741822529914
2008-11-24 12:47:00,Monday,SOUTHERN,900 Block of HOWARD ST,-122.405399502883,37.78120838714421
2012-10-07 20:25:00,Sunday,TENDERLOIN,200 Block of OFARRELL ST,-122.408519707346,37.7864044708209
2013-08-08 22:00:00,Thursday,NORTHERN,2100 Block of NORTHPOINT ST,-122.442610609708,37.8029319316628
2015-03-05 00:01:00,Thursday,NORTHERN,3800 Block of SCOTT ST,-122.44230511304501,37.8053982225285
2012-03-10 23:45:00,Saturday,MISSION,300 Block of SANCHEZ ST,-122.430733959523,37.7635517135417
2011-07-25 08:15:00,Monday,INGLESIDE,0 Block of RAE AV,-122.44812728747601,37.712163614622895
2014-07-25 13:00:00,Friday,CENTRAL,900 Block of NORTHPOINT ST,-122.422857719558,37.8054440413944
2007-09-22 23:35:00,Saturday,SOUTHERN,200 Block of TOWNSEND ST,-122.393067201567,37.7786785406097
2007-06-01 00:01:00,Friday,PARK,0 Block of CARMELITA ST,-122.434391032678,37.77023009347511
2015-04-02 20:00:00,Thursday,TARAVAL,1300 Block of 41ST AV,-122.50056241247,37.76157691282
2006-09-23 12:30:00,Saturday,TENDERLOIN,100 Block of GOLDEN GATE AV,-122.413047972078,37.781911962829795
2005-10-07 03:00:00,Friday,BAYVIEW,1600 Block of KIRKWOOD AV,-122.390952930587,37.7386625599684
2006-05-21 05:30:00,Sunday,TARAVAL,19TH AV / NORIEGA ST,-122.476422775529,37.7542423608244
2009-12-09 17:00:00,Wednesday,SOUTHERN,300 Block of SPEAR ST,-122.390136077091,37.7894806825431
2007-11-15 16:45:00,Thursday,PARK,0 Block of KEZAR DR,-122.45512727517,37.7695200227183
2010-07-16 04:00:00,Friday,NORTHERN,1400 Block of VANNESS AV,-122.42182180606702,37.78872919445229
2007-06-30 09:38:00,Saturday,TARAVAL,1200 Block of 12TH AV,-122.46951755614401,37.764824254365
2011-07-01 01:00:00,Friday,INGLESIDE,1900 Block of SUNNYDALE AV,-122.417107986993,37.7122561827524
2005-07-17 14:00:00,Sunday,CENTRAL,1100 Block of PINE ST,-122.41411715915399,37.790493163527714
2013-09-02 17:00:00,Monday,SOUTHERN,7TH ST / HOWARD ST,-122.409391574893,37.7779765037999
2013-10-29 08:00:00,Tuesday,NORTHERN,OAK ST / FILLMORE ST,-122.43082758027201,37.7739712165626
2010-02-12 07:12:00,Friday,TENDERLOIN,500 Block of LEAVENWORTH ST,-122.41464540990101,37.7860688364633
2011-10-31 09:20:00,Monday,CENTRAL,700 Block of VALLEJO ST,-122.40979166229299,37.7985083480435
2013-11-16 15:09:00,Saturday,MISSION,2600 Block of MISSION ST,-122.418738265772,37.7546172382083
2011-06-03 02:46:00,Friday,CENTRAL,BUSH ST / MONTGOMERY ST,-122.40238402441099,37.7909700100406
2008-08-20 18:00:00,Wednesday,RICHMOND,8TH AV / GEARY BL,-122.466427961913,37.780923096402795
2008-11-24 16:43:00,Monday,CENTRAL,900 Block of PINE ST,-122.41164300533899,37.790807251861295
2005-02-07 17:30:00,Monday,SOUTHERN,100 Block of 7TH ST,-122.40959632433399,37.7782216875564
2011-12-31 13:00:00,Saturday,RICHMOND,4900 Block of FULTON ST,-122.484742319476,37.77259911123271
2005-03-21 14:38:00,Monday,CENTRAL,MONTGOMERY ST / PINE ST,-122.402573952346,37.791898143865296
2012-10-29 02:23:00,Monday,MISSION,21ST ST / SHOTWELL ST,-122.415629332446,37.757232227914
2011-02-23 16:30:00,Wednesday,SOUTHERN,0 Block of 12TH ST,-122.420001436964,37.7740948566882
2009-11-11 16:28:00,Wednesday,BAYVIEW,LANE ST / QUESADA AV,-122.389603169958,37.73229013539429
2012-06-02 20:00:00,Saturday,NORTHERN,2100 Block of VANNESS AV,-122.42315068625,37.7953061262191
2014-09-06 17:00:00,Saturday,INGLESIDE,0 Block of NIAGARA AV,-122.442627054319,37.716246242905896
2007-09-04 18:00:00,Tuesday,SOUTHERN,200 Block of 8TH ST,-122.41127194053699,37.776032950124396
2015-02-21 02:00:00,Saturday,NORTHERN,GEARY BL / WEBSTER ST,-122.431206932079,37.7845681170336
2007-12-15 23:00:00,Saturday,CENTRAL,BROADWAY ST / POWELL ST,-122.410265407362,37.7974186692171
2007-07-27 18:26:00,Friday,MISSION,MISSION ST / 17TH ST,-122.419515708406,37.7634292328496
2009-08-18 00:01:00,Tuesday,INGLESIDE,CHENERY ST / ROANOKE ST,-122.430244604599,37.73555942578211
2014-07-09 18:30:00,Wednesday,TARAVAL,JOHNMUIR DR / SKYLINEBLVD HY,-122.50022040363001,37.718954166945
2008-06-10 22:00:00,Tuesday,INGLESIDE,LEESE ST / PARK ST,-122.423639781183,37.736689305729
2014-01-09 08:16:00,Thursday,BAYVIEW,700 Block of JERROLD AV,-122.37337604924,37.729769211767795
2004-06-26 00:01:00,Saturday,CENTRAL,500 Block of COLUMBUS AV,-122.409667412997,37.7998691995985
2015-01-25 03:45:00,Sunday,CENTRAL,600 Block of BROADWAY ST,-122.407822401083,37.7976687725776
2004-10-28 00:45:00,Thursday,CENTRAL,900 Block of JONES ST,-122.413892284118,37.7899965293679
2006-05-29 21:00:00,Monday,MISSION,FLORIDA ST / 18TH ST,-122.411090794581,37.7617009781734
2009-01-22 19:55:00,Thursday,MISSION,300 Block of EUREKA ST,-122.437810763535,37.75668062438871
2012-10-19 17:00:00,Friday,RICHMOND,400 Block of 23RD AV,-122.482451823576,37.7792108282891
2015-03-05 20:00:00,Thursday,SOUTHERN,100 Block of 3RD ST,-122.400916029025,37.7854574902997
2007-10-15 17:28:00,Monday,MISSION,4000 Block of 18TH ST,-122.43444692866699,37.7608670671665
2013-11-13 16:39:00,Wednesday,INGLESIDE,0 Block of CORDOVA ST,-122.43615462358801,37.7128189051559
2011-11-05 02:00:00,Saturday,NORTHERN,900 Block of FRANKLIN ST,-122.422442530821,37.7829271006902
2006-10-21 12:40:00,Saturday,NORTHERN,2100 Block of CHESTNUT ST,-122.43872325496001,37.8005583558889
2006-09-19 23:30:00,Tuesday,MISSION,NOE ST / 19TH ST,-122.43263964038799,37.7594240091882
2012-12-27 19:09:00,Thursday,INGLESIDE,MISSION ST / VALENCIA ST,-122.420021755228,37.745390168077705
2009-05-14 19:10:00,Thursday,SOUTHERN,800 Block of MARKET ST,-122.40652098714399,37.7850629421661
2008-02-04 16:56:00,Monday,MISSION,14TH ST / GUERRERO ST,-122.424412715064,37.7680054163824
2008-08-22 20:10:00,Friday,INGLESIDE,ALEMANY BL / PUTNAM ST,-122.410829623756,37.734733171769705
2008-06-09 19:45:00,Monday,MISSION,3100 Block of 24TH ST,-122.414623849785,37.752418092857106
2010-07-29 18:40:00,Thursday,NORTHERN,1000 Block of POST ST,-122.41910442464399,37.78687648416079
2015-01-05 18:00:00,Monday,RICHMOND,4300 Block of CLEMENT ST,-122.50578194006901,37.7811056337039
2006-03-07 11:30:00,Tuesday,MISSION,100 Block of CALEDONIA ST,-122.42134956980101,37.7653537034475
2014-10-02 19:00:00,Thursday,NORTHERN,MARKET ST / CHURCH ST,-122.42895003272699,37.7675027326801
2007-11-28 07:30:00,Wednesday,PARK,600 Block of BELVEDERE ST,-122.447769460341,37.76131349823
2007-04-30 09:00:00,Monday,SOUTHERN,100 Block of BERRY ST,-122.392308546387,37.7766922783325
2014-07-21 12:11:00,Monday,SOUTHERN,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2015-03-22 00:01:00,Sunday,SOUTHERN,300 Block of 5TH ST,-122.40306483193599,37.780085469751604
2008-11-02 18:30:00,Sunday,BAYVIEW,TEXAS ST / 20TH ST,-122.39531673100299,37.7600850426839
2006-12-01 00:01:00,Friday,MISSION,ABBEY ST / 17TH ST,-122.42716806278999,37.7629719844209
2004-05-26 19:00:00,Wednesday,TARAVAL,1200 Block of 28TH AV,-122.48690423744101,37.764056783441504
2008-06-09 09:00:00,Monday,CENTRAL,200 Block of GEARY ST,-122.407434989523,37.787515874162295
2015-04-15 15:00:00,Wednesday,CENTRAL,LEAVENWORTH ST / GEARY ST,-122.414809966357,37.7865194111614
2014-07-12 22:40:00,Saturday,TARAVAL,43RD AV / TARAVAL ST,-122.50140219549601,37.741909893718
2006-01-13 13:00:00,Friday,SOUTHERN,4TH ST / TOWNSEND ST,-122.394985875925,37.77709095340229
2009-09-01 07:20:00,Tuesday,TENDERLOIN,ELLIS ST / JONES ST,-122.412784096502,37.78486569395261
2011-06-18 22:00:00,Saturday,BAYVIEW,1700 Block of ARMSTRONG AV,-122.39496218153299,37.7278372709764
2012-06-25 19:30:00,Monday,MISSION,200 Block of GUERRERO ST,-122.42445060315201,37.7671835873881
2012-10-07 14:03:00,Sunday,BAYVIEW,22ND ST / MINNESOTA ST,-122.39021463885,37.757826613798706
2008-11-15 20:21:00,Saturday,INGLESIDE,200 Block of PARQUE DR,-122.422592099161,37.709998706156
2007-12-13 07:00:00,Thursday,BAYVIEW,0 Block of LEDYARD ST,-122.402116556292,37.733235467655604
2005-06-29 18:15:00,Wednesday,SOUTHERN,100 Block of 6TH ST,-122.407975093043,37.780309908281396
2013-07-22 17:00:00,Monday,MISSION,18TH ST / LEXINGTON ST,-122.420814723424,37.7617461824936
2014-12-11 18:13:00,Thursday,SOUTHERN,800 Block of MARKET ST,-122.407633520742,37.7841893501425
2011-04-22 19:00:00,Friday,TARAVAL,300 Block of LAKESHORE DR,-122.49764486679199,37.7324443609838
2015-03-17 09:25:00,Tuesday,BAYVIEW,300 Block of HALE ST,-122.41184626554899,37.7311823109483
2012-02-24 10:22:00,Friday,NORTHERN,2100 Block of UNION ST,-122.43467308579599,37.7971372773654
2010-03-22 12:30:00,Monday,SOUTHERN,SPEAR ST / MARKET ST,-122.395630116231,37.7937899670889
2015-02-07 12:35:00,Saturday,CENTRAL,600 Block of SUTTER ST,-122.411090752992,37.788964175606296
2012-02-12 11:00:00,Sunday,CENTRAL,400 Block of GEARY ST,-122.410699657634,37.7869881885308
2014-08-10 16:30:00,Sunday,RICHMOND,JOHNFKENNEDY DR / 30TH AV,-122.489804747862,37.770891784884796
2006-10-07 13:00:00,Saturday,TENDERLOIN,0 Block of TURK ST,-122.409853729941,37.7833862379382
2007-10-17 12:27:00,Wednesday,BAYVIEW,OAKDALE AV / BARNEVELD AV,-122.403259230009,37.7419262861403
2006-05-07 21:30:00,Sunday,MISSION,GUERRERO ST / 21ST ST,-122.423332805932,37.7567688932866
2004-10-16 14:00:00,Saturday,CENTRAL,1500 Block of TAYLOR ST,-122.413342007712,37.7963115278702
2012-10-16 13:42:00,Tuesday,BAYVIEW,26TH ST / WISCONSIN ST,-122.39834178209101,37.751053954713996
2013-10-05 04:05:00,Saturday,NORTHERN,LARKIN ST / SUTTER ST,-122.418467747931,37.7879652569797
2013-08-06 20:29:00,Tuesday,TENDERLOIN,400 Block of TURK ST,-122.416342977622,37.7824465135592
2011-07-15 18:45:00,Friday,INGLESIDE,100 Block of BLYTHDALE AV,-122.420529801066,37.7110023300609
2012-08-23 17:53:00,Thursday,TENDERLOIN,EDDY ST / LARKIN ST,-122.41753069698,37.78331075399689
2005-12-27 16:30:00,Tuesday,SOUTHERN,2ND ST / MARKET ST,-122.40137806755101,37.789263931022894
2014-07-25 01:40:00,Friday,SOUTHERN,1600 Block of MISSION ST,-122.41910574075199,37.7719857711361
2005-03-26 15:00:00,Saturday,MISSION,2000 Block of MISSION ST,-122.41965834371,37.7642205603745
2008-12-10 01:00:00,Wednesday,SOUTHERN,HOWARD ST / 4TH ST,-122.40271259328199,37.783259654397895
2012-02-10 06:48:00,Friday,TENDERLOIN,LEAVENWORTH ST / GOLDEN GATE AV,-122.413869632554,37.7818621883021
2004-12-24 15:00:00,Friday,NORTHERN,1600 Block of SACRAMENTO ST,-122.42007416053002,37.7916521865064
2009-07-09 17:00:00,Thursday,MISSION,MISSION ST / 22ND ST,-122.418748733523,37.755437187509706
2007-11-30 19:41:00,Friday,SOUTHERN,1000 Block of MARKET ST,-122.411071423064,37.7817511307229
2006-12-26 17:45:00,Tuesday,TENDERLOIN,LARKIN ST / GROVE ST,-122.416583456133,37.778659154150795
2007-10-15 19:30:00,Monday,RICHMOND,500 Block of JOHNFKENNEDY DR,-122.46620466789301,37.7725405391593
2005-02-08 13:00:00,Tuesday,BAYVIEW,1700 Block of JERROLD AV,-122.39216919579799,37.7404318259225
2006-09-06 00:50:00,Wednesday,MISSION,400 Block of CASTRO ST,-122.43515009981199,37.7617597243598
2013-11-12 18:00:00,Tuesday,MISSION,16TH ST / SOUTH VAN NESS AV,-122.41748832363899,37.7651818039906
2009-04-04 18:05:00,Saturday,SOUTHERN,1000 Block of MARKET ST,-122.41133956255699,37.7812707434494
2005-03-10 13:00:00,Thursday,PARK,1000 Block of 14TH ST,-122.436076649741,37.7672446280514
2005-11-05 09:15:00,Saturday,SOUTHERN,1ST ST / CLEMENTINA ST,-122.395011317253,37.787718291202395
2012-09-05 13:49:00,Wednesday,TENDERLOIN,LARKIN ST / ELLIS ST,-122.417710344726,37.7842362877887
2006-05-07 16:20:00,Sunday,TENDERLOIN,EDDY ST / TAYLOR ST,-122.410955248906,37.7841399509594
2010-05-19 20:20:00,Wednesday,PARK,1700 Block of FULTON ST,-122.445652525154,37.7759612670837
2011-03-25 19:30:00,Friday,TENDERLOIN,300 Block of ELLIS ST,-122.411965795229,37.78491418595621
2009-05-13 09:30:00,Wednesday,NORTHERN,2000 Block of CALIFORNIA ST,-122.428087689719,37.7895820615822
2012-12-29 17:35:00,Saturday,SOUTHERN,HOWARD ST / BEALE ST,-122.39427843761999,37.789924836161106
2005-10-06 21:00:00,Thursday,TARAVAL,3500 Block of TARAVAL ST,-122.50409104532301,37.741733634619
2011-03-26 05:57:00,Saturday,MISSION,2500 Block of 24TH ST,-122.404851256515,37.7530372984263
2007-09-04 09:55:00,Tuesday,MISSION,DUBOCE AV / VALENCIA ST,-122.42236740956301,37.76986823924551
2005-12-13 23:00:00,Tuesday,NORTHERN,500 Block of WEBSTER ST,-122.429344544489,37.77535295966911
2007-12-24 00:01:00,Monday,PARK,800 Block of OAK ST,-122.433314676574,37.7737054374941
2008-01-23 20:30:00,Wednesday,TARAVAL,1900 Block of SLOAT BL,-122.495555297731,37.733968619329204
2014-05-02 17:00:00,Friday,SOUTHERN,600 Block of KING ST,-122.401668404902,37.770528352861795
2008-09-03 16:30:00,Wednesday,MISSION,2600 Block of 24TH ST,-122.405838144649,37.7529785864877
2015-03-19 22:00:00,Thursday,MISSION,3700 Block of 18TH ST,-122.427242380192,37.7614118083919
2005-08-26 09:37:00,Friday,RICHMOND,800 Block of 42ND AV,-122.502397032247,37.7726562501994
2013-04-01 01:30:00,Monday,CENTRAL,600 Block of SUTTER ST,-122.411068869703,37.78885570426971
2004-08-30 14:30:00,Monday,MISSION,2000 Block of MISSION ST,-122.41965834371,37.7642205603745
2007-03-05 02:23:00,Monday,BAYVIEW,LANE ST / SHAFTER AV,-122.390729985082,37.7310386910994
2009-06-25 21:00:00,Thursday,RICHMOND,CALIFORNIA ST / DIVISADERO ST,-122.440442684037,37.7880671350434
2010-05-06 06:32:00,Thursday,TENDERLOIN,0 Block of GRANT AV,-122.404997416043,37.787196333634796
2006-09-20 11:15:00,Wednesday,BAYVIEW,1300 Block of NEWHALL ST,-122.39187983717599,37.7359364818345
